ciphersuite,count,code_1sthalf,code_2ndhalf,code,cipher_y,dtls_ok,recommended,ref,key_exchange,mac,cipher,code_base10
0xc012,1913,0xc0,0x12,"0xc0,0x12",TLS_ECDHE_RSA_WITH_3DES_EDE_CBC_SHA,Y,N,[RFC8422],tls_dhe_rsa,sha,3des_ede_cbc,49170
0x16,1875,0x00,0x16,"0x00,0x16",TLS_DHE_RSA_WITH_3DES_EDE_CBC_SHA,Y,N,[RFC5246],tls_dhe_rsa,sha,3des_ede_cbc,22
0xc005,1856,0xc0,0x05,"0xc0,0x05",TLS_ECDH_ECDSA_WITH_AES_256_CBC_SHA,Y,N,[RFC8422],tls_ecdh_ecdsa,sha,aes_256_cbc,49157
0xc004,1844,0xc0,0x04,"0xc0,0x04",TLS_ECDH_ECDSA_WITH_AES_128_CBC_SHA,Y,N,[RFC8422],tls_ecdh_ecdsa,sha,aes_128_cbc,49156
0xc00f,1843,0xc0,0x0f,"0xc0,0x0f",TLS_ECDH_RSA_WITH_AES_256_CBC_SHA,Y,N,[RFC8422],tls_ecdh_rsa,sha,aes_256_cbc,49167
0xc008,1836,0xc0,0x08,"0xc0,0x08",TLS_ECDHE_ECDSA_WITH_3DES_EDE_CBC_SHA,Y,N,[RFC8422],tls_ecdhe_ecdsa,sha,3des_ede_cbc,49160
0xc00e,1828,0xc0,0x0e,"0xc0,0x0e",TLS_ECDH_RSA_WITH_AES_128_CBC_SHA,Y,N,[RFC8422],tls_ecdh_rsa,sha,aes_128_cbc,49166
0x13,1759,0x00,0x13,"0x00,0x13",TLS_DHE_DSS_WITH_3DES_EDE_CBC_SHA,Y,N,[RFC5246],tls_dhe_dss,sha,3des_ede_cbc,19
0x40,1747,0x00,0x40,"0x00,0x40",TLS_DHE_DSS_WITH_AES_128_CBC_SHA256,Y,N,[RFC5246],tls_dhe_dss,sha256,aes_128_cbc,64
0xa2,1742,0x00,0xa2,"0x00,0xa2",TLS_DHE_DSS_WITH_AES_128_GCM_SHA256,Y,N,[RFC5288],tls_dhe_dss,sha256,aes_128_gcm,162
0xc02a,1739,0xc0,0x2a,"0xc0,0x2a",TLS_ECDH_RSA_WITH_AES_256_CBC_SHA384,Y,N,[RFC5289],tls_ecdh_rsa,sha384,aes_256_cbc,49194
